"id","api_game_id","date","home_team_id","home_team_alias","home_points","away_team_id","away_team_alias","away_points","createdAt","updatedAt"
19,,"2017-10-20T23:00:00+00:00","583ec87d-fb46-11e1-82cb-f4ce4684ea4c","PHI",92,"583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",102,"2018-06-05 06:07:36.755-04","2018-06-05 06:07:36.755-04"
51,,"2017-10-24T23:30:00+00:00","583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",110,"583ec70e-fb46-11e1-82cb-f4ce4684ea4c","NYK",89,"2018-06-05 06:07:36.759-04","2018-06-05 06:07:36.759-04"
109,,"2017-11-01T23:30:00+00:00","583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",113,"583ed0ac-fb46-11e1-82cb-f4ce4684ea4c","SAC",86,"2018-06-05 06:07:36.768-04","2018-06-05 06:07:36.768-04"
161,,"2017-11-09T01:00:00+00:00","583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",107,"583ecae2-fb46-11e1-82cb-f4ce4684ea4c","LAL",96,"2018-06-05 06:07:36.776-04","2018-06-05 06:07:36.776-04"
129,,"2017-11-04T01:30:00+00:00","583ecfff-fb46-11e1-82cb-f4ce4684ea4c","OKC",94,"583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",101,"2018-06-05 06:07:36.771-04","2018-06-05 06:07:36.771-04"
139,,"2017-11-05T23:00:00+00:00","583ed157-fb46-11e1-82cb-f4ce4684ea4c","ORL",88,"583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",104,"2018-06-05 06:07:36.772-04","2018-06-05 06:07:36.772-04"
201,,"2017-11-15T00:30:00+00:00","583ec9d6-fb46-11e1-82cb-f4ce4684ea4c","BKN",102,"583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",109,"2018-06-05 06:07:36.784-04","2018-06-05 06:07:36.784-04"
215,,"2017-11-17T01:00:00+00:00","583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",92,"583ec825-fb46-11e1-82cb-f4ce4684ea4c","GSW",88,"2018-06-05 06:07:36.787-04","2018-06-05 06:07:36.787-04"
231,,"2017-11-19T00:30:00+00:00","583ecb8f-fb46-11e1-82cb-f4ce4684ea4c","ATL",99,"583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",110,"2018-06-05 06:07:36.789-04","2018-06-05 06:07:36.789-04"
250,,"2017-11-21T01:30:00+00:00","583ecf50-fb46-11e1-82cb-f4ce4684ea4c","DAL",102,"583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",110,"2018-06-05 06:07:36.791-04","2018-06-05 06:07:36.791-04"
257,,"2017-11-23T00:30:00+00:00","583ecea6-fb46-11e1-82cb-f4ce4684ea4c","MIA",104,"583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",98,"2018-06-05 06:07:36.791-04","2018-06-05 06:07:36.791-04"
342,,"2017-12-05T00:30:00+00:00","583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",111,"583ecefd-fb46-11e1-82cb-f4ce4684ea4c","MIL",100,"2018-06-05 06:07:36.803-04","2018-06-05 06:07:36.803-04"
